context,_id,after,narrators_id,h_wa_chain,h_wa_haddathana,before,aliase,order
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,وأخبرني,12300,0,0,قال,ابن شهاب,7
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,أن,12031,0,0,وأخبرني,أبو سلمة بن عبد الرحمن,8
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني,36,0,0,أن,جابر بن عبد الله الأنصاري,9
 5 حدثنا موسى بن إسماعيل قال حدثنا أبو عوانة قال حدثنا موسى بن أبي عائشة قال حدثنا سعيد بن جبير عن ابن عباس,bukhari-00005-00,قال حدثنا,13941,0,0,5 حدثنا,موسى بن إسماعيل,1
 5 حدثنا موسى بن إسماعيل قال حدثنا أبو عوانة قال حدثنا موسى بن أبي عائشة قال حدثنا سعيد بن جبير عن ابن عباس,bukhari-00005-00,قال حدثنا,12118,0,0,قال حدثنا,أبو عوانة,2
 5 حدثنا موسى بن إسماعيل قال حدثنا أبو عوانة قال حدثنا موسى بن أبي عائشة قال حدثنا سعيد بن جبير عن ابن عباس,bukhari-00005-00,قال حدثنا,17170,0,0,قال حدثنا,موسى بن أبي عائشة,3
 5 حدثنا موسى بن إسماعيل قال حدثنا أبو عوانة قال حدثنا موسى بن أبي عائشة قال حدثنا سعيد بن جبير عن ابن عباس,bukhari-00005-00,عن,15992,0,0,قال حدثنا,سعيد بن جبير,4
 5 حدثنا موسى بن إسماعيل قال حدثنا أبو عوانة قال حدثنا موسى بن أبي عائشة قال حدثنا سعيد بن جبير عن ابن عباس,bukhari-00005-00,,11,0,0,عن,ابن عباس,5
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,قال أخبرنا,16508,0,1,6 حدثنا,عبدان,1
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,قال أخبرنا,16418,0,1,قال أخبرنا,عبد الله,2
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,عن,17423,0,1,قال أخبرنا,يونس,3
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,ح وحدثنا,12300,0,1,عن,الزهري,4
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,قال أخبرنا,16418,0,1,قال أخبرنا,عبد الله,5
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00, nindex.php?page=showalam&ids=17124ومعمر  ,17423,0,1,قال أخبرنا,يونس,6
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,عن,17124,0,1, يونس  ,ومعمر,7
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,نحوه قال أخبرني,12300,0,1,عن,الزهري,8
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,عن,16523,0,1,نحوه قال أخبرني,عبيد الله بن عبد الله,9
 6 حدثنا عبدان قال أخبرنا عبد الله قال أخبرنا يونس عن الزهري ح وحدثنا [ ص: 7 ] بشر بن محمد قال أخبرنا عبد الله قال أخبرنا يونس ومعمر عن الزهري نحوه قال أخبرني عبيد الله بن عبد الله عن ابن عباس قال,bukhari-00006-00,قال,11,0,1,عن,ابن عباس,10
 7 حدثنا أبو اليمان الحكم بن نافع قال أخبرنا شعيب عن الزهري قال أخبرني عبيد الله بن عبد الله بن عتبة بن مسعود أن عبد الله بن عباس أخبره أن أبا سفيان بن حرب أخبره رواه صالح بن كيسان ويونس ومعمر عن الزهري,bukhari-00007-00,قال أخبرنا,11931,0,0,7 حدثنا,أبو اليمان الحكم بن نافع,1
 7 حدثنا أبو اليمان الحكم بن نافع قال أخبرنا شعيب عن الزهري قال أخبرني عبيد الله بن عبد الله بن عتبة بن مسعود أن عبد الله بن عباس أخبره أن أبا سفيان بن حرب أخبره رواه صالح بن كيسان ويونس ومعمر عن الزهري,bukhari-00007-00,عن,16108,0,0,قال أخبرنا,شعيب,2
 7 حدثنا أبو اليمان الحكم بن نافع قال أخبرنا شعيب عن الزهري قال أخبرني عبيد الله بن عبد الله بن عتبة بن مسعود أن عبد الله بن عباس أخبره أن أبا سفيان بن حرب أخبره رواه صالح بن كيسان ويونس ومعمر عن الزهري,bukhari-00007-00,قال أخبرني,12300,0,0,عن,الزهري,3
 7 حدثنا أبو اليمان الحكم بن نافع قال أخبرنا شعيب عن الزهري قال أخبرني عبيد الله بن عبد الله بن عتبة بن مسعود أن عبد الله بن عباس أخبره أن أبا سفيان بن حرب أخبره رواه صالح بن كيسان ويونس ومعمر عن الزهري,bukhari-00007-00,أن,16523,0,0,قال أخبرني,عبيد الله بن عبد الله بن عتبة بن مسعود,4
 7 حدثنا أبو اليمان الحكم بن نافع قال أخبرنا شعيب عن الزهري قال أخبرني عبيد الله بن عبد الله بن عتبة بن مسعود أن عبد الله بن عباس أخبره أن أبا سفيان بن حرب أخبره رواه صالح بن كيسان ويونس ومعمر عن الزهري,bukhari-00007-00,أخبره أن,11,0,0,أن,عبد الله بن عباس,5
 7 حدثنا أبو اليمان الحكم بن نافع قال أخبرنا شعيب عن الزهري قال أخبرني عبيد الله بن عبد الله بن عتبة بن مسعود أن عبد الله بن عباس أخبره أن أبا سفيان بن حرب أخبره رواه صالح بن كيسان ويونس ومعمر عن الزهري,bukhari-00007-00,أخبره,12026,0,0,أخبره أن,أبا سفيان بن حرب,6
 8 حدثنا عبيد الله بن موسى قال أخبرنا حنظلة بن أبي سفيان عن عكرمة بن خالد عن ابن عمر رضي الله عنهما,bukhari-00008-00,قال أخبرنا,16527,0,0,8 حدثنا,عبيد الله بن موسى,1
 8 حدثنا عبيد الله بن موسى قال أخبرنا حنظلة بن أبي سفيان عن عكرمة بن خالد عن ابن عمر رضي الله عنهما,bukhari-00008-00,عن,15776,0,0,قال أخبرنا,حنظلة بن أبي سفيان,2
 8 حدثنا عبيد الله بن موسى قال أخبرنا حنظلة بن أبي سفيان عن عكرمة بن خالد عن ابن عمر رضي الله عنهما,bukhari-00008-00,رضي الله عنهما,12,0,0,عن,ابن عمر,3
 9 حدثنا عبد الله بن محمد الجعفي قال حدثنا أبو عامر العقدي قال حدثنا سليمان بن بلال عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه,bukhari-00009-00,قال حدثنا,15241,0,0,9 حدثنا,عبد الله بن محمد الجعفي,1
 9 حدثنا عبد الله بن محمد الجعفي قال حدثنا أبو عامر العقدي قال حدثنا سليمان بن بلال عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه,bukhari-00009-00,قال حدثنا,14797,0,0,قال حدثنا,أبو عامر العقدي,2
 9 حدثنا عبد الله بن محمد الجعفي قال حدثنا أبو عامر العقدي قال حدثنا سليمان بن بلال عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه,bukhari-00009-00,عن,16036,0,0,قال حدثنا,سليمان بن بلال,3
 9 حدثنا عبد الله بن محمد الجعفي قال حدثنا أبو عامر العقدي قال حدثنا سليمان بن بلال عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه,bukhari-00009-00,عن,16430,0,0,عن,عبد الله بن دينار,4
 9 حدثنا عبد الله بن محمد الجعفي قال حدثنا أبو عامر العقدي قال حدثنا سليمان بن بلال عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه,bukhari-00009-00,عن,12045,0,0,عن,أبي صالح,5
 9 حدثنا عبد الله بن محمد الجعفي قال حدثنا أبو عامر العقدي قال حدثنا سليمان بن بلال عن عبد الله بن دينار عن أبي صالح عن أبي هريرة رضي الله عنه,bukhari-00009-00,رضي الله عنه,3,0,0,عن,أبي هريرة,6
 10 حدثنا آدم بن أبي إياس قال حدثنا شعبة عن عبد الله بن أبي السفر وإسماعيل بن أبي خالد عن الشعبي عن عبد الله بن عمرو رضي الله عنهما قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت عبد الله يعني ابن عمرو عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم,bukhari-00010-00,قال حدثنا,11790,0,0,10 حدثنا,آدم بن أبي إياس,1
 10 حدثنا آدم بن أبي إياس قال حدثنا شعبة عن عبد الله بن أبي السفر وإسماعيل بن أبي خالد عن الشعبي عن عبد الله بن عمرو رضي الله عنهما قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت عبد الله يعني ابن عمرو عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم,bukhari-00010-00,عن,16102,0,0,قال حدثنا,شعبة,2
 10 حدثنا آدم بن أبي إياس قال حدثنا شعبة عن عبد الله بن أبي السفر وإسماعيل بن أبي خالد عن الشعبي عن عبد الله بن عمرو رضي الله عنهما قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت عبد الله يعني ابن عمرو عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم,bukhari-00010-00,عن,12428,0,0,عبد الله بن أبي السفر  ,وإسماعيل بن أبي خالد,3
 10 حدثنا آدم بن أبي إياس قال حدثنا شعبة عن عبد الله بن أبي السفر وإسماعيل بن أبي خالد عن الشعبي عن عبد الله بن عمرو رضي الله عنهما قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت عبد الله يعني ابن عمرو عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم,bukhari-00010-00,عن,14577,0,0,عن,الشعبي,4
 10 حدثنا آدم بن أبي إياس قال حدثنا شعبة عن عبد الله بن أبي السفر وإسماعيل بن أبي خالد عن الشعبي عن عبد الله بن عمرو رضي الله عنهما قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت عبد الله يعني ابن عمرو عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم,bukhari-00010-00,رضي الله عنهما,13,0,0,عن,عبد الله بن عمرو,5
 10 حدثنا آدم بن أبي إياس قال حدثنا شعبة عن عبد الله بن أبي السفر وإسماعيل بن أبي خالد عن الشعبي عن عبد الله بن عمرو رضي الله عنهما قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت عبد الله يعني ابن عمرو عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم,bukhari-00010-00,عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن,13,0,0,قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت,عبد الله يعني ابن عمرو,6
 10 حدثنا آدم بن أبي إياس قال حدثنا شعبة عن عبد الله بن أبي السفر وإسماعيل بن أبي خالد عن الشعبي عن عبد الله بن عمرو رضي الله عنهما قال أبو عبد الله وقال أبو معاوية حدثنا داود هو ابن أبي هند عن عامر قال سمعت عبد الله يعني ابن عمرو عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم,bukhari-00010-00,عن النبي صلى الله عليه وسلم,13,0,0,عن النبي صلى الله عليه وسلم وقال عبد الأعلى عن داود عن عامر عن,عبد الله,7
 11 حدثنا سعيد بن يحيى بن سعيد القرشي قال حدثنا أبي قال حدثنا أبو بردة بن عبد الله بن أبي بردة عن أبي بردة عن أبي موسى رضي الله عنه قال,bukhari-00011-00,قال حدثنا,17315,0,0,قال حدثنا,أبي,1
 11 حدثنا سعيد بن يحيى بن سعيد القرشي قال حدثنا أبي قال حدثنا أبو بردة بن عبد الله بن أبي بردة عن أبي بردة عن أبي موسى رضي الله عنه قال,bukhari-00011-00,عن,15526,0,0,قال حدثنا,أبو بردة بن عبد الله بن أبي بردة,2
 11 حدثنا سعيد بن يحيى بن سعيد القرشي قال حدثنا أبي قال حدثنا أبو بردة بن عبد الله بن أبي بردة عن أبي بردة عن أبي موسى رضي الله عنه قال,bukhari-00011-00,عن,11935,0,0,عن,أبي بردة,3
 11 حدثنا سعيد بن يحيى بن سعيد القرشي قال حدثنا أبي قال حدثنا أبو بردة بن عبد الله بن أبي بردة عن أبي بردة عن أبي موسى رضي الله عنه قال,bukhari-00011-00,رضي الله عنه قال,110,0,0,عن,أبي موسى,4
 12 حدثنا عمرو بن خالد قال حدثنا الليث عن يزيد عن أبي الخير عن عبد الله بن عمرو رضي الله عنهما,bukhari-00012-00,قال حدثنا,16704,0,0,12 حدثنا,عمرو بن خالد,1
 12 حدثنا عمرو بن خالد قال حدثنا الليث عن يزيد عن أبي الخير عن عبد الله بن عمرو رضي الله عنهما,bukhari-00012-00,عن,15124,0,0,قال حدثنا,الليث,2
 12 حدثنا عمرو بن خالد قال حدثنا الليث عن يزيد عن أبي الخير عن عبد الله بن عمرو رضي الله عنهما,bukhari-00012-00,عن,17346,0,0,عن,يزيد,3
 12 حدثنا عمرو بن خالد قال حدثنا الليث عن يزيد عن أبي الخير عن عبد الله بن عمرو رضي الله عنهما,bukhari-00012-00,عن,17060,0,0,عن,أبي الخير,4
 12 حدثنا عمرو بن خالد قال حدثنا الليث عن يزيد عن أبي الخير عن عبد الله بن عمرو رضي الله عنهما,bukhari-00012-00,رضي الله عنهما,13,0,0,عن,عبد الله بن عمرو,5
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,قال حدثنا,17072,0,0,13 حدثنا,مسدد,1
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,عن,17293,0,0,قال حدثنا,يحيى,2
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,عن,16102,0,0,عن,شعبة,3
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,عن,16815,0,0,عن,قتادة,4
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,رضي الله عنه عن النبي صلى الله عليه وسلم وعن,9,0,0,عن,أنس,5
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,قال حدثنا,15716,0,0,رضي الله عنه عن النبي صلى الله عليه وسلم وعن,حسين المعلم,6
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,عن,16815,0,0,قال حدثنا,قتادة,7
 13 حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس رضي الله عنه عن النبي صلى الله عليه وسلم وعن حسين المعلم قال حدثنا قتادة عن أنس,bukhari-00013-00,,9,0,0,عن,أنس,8
